branch,full_sha,last_commit_date,merged_to_main,ahead_of_main,on_origin,has_worktree,open_pr,owner_lane,proposed_disposition,preservation
worktree-agent-a7c2bdc5,af422997676034da8e7cc6e335c0a4982824bfaf,2026-03-28,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a7c2bdc5,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a7c976142c417e1b3,e8e54b6be354cac22c76696ee1849e6682f01ed5,2026-06-13,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a7c976142c417e1b3,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a7df4042,df3101ab7c7115b25943cb5e25408f2555d26cf3,2026-03-28,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a7df4042,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a7f6c9c4caf912896,5f43b45b21b70eef84f22cc5b287a0492d9574f0,2026-06-06,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a8002cacbed4a7bf1,a2042d7f2c55432e27ac70da13adaf6cb8cb69f4,2026-06-15,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a865920cd8c20a0f3,b5cc58fa64c01fd31deaef6b6c0de81c0700b078,2026-06-06,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a8b2ddf0f38b4b7da,cfee86072bbd8dbb136b33718a8dcdd61ad9539d,2026-06-05,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a8b2ddf0f38b4b7da,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a8bac26d,af422997676034da8e7cc6e335c0a4982824bfaf,2026-03-28,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a8bac26d,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a8c59c333f73399e1,6138ec1293fb0e65f9a3c85c3351364f340ea210,2026-06-24,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a8d8723a,495d95671b97c271892f547134419f2d03b8bc1e,2026-03-28,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a8d8723a,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a8fca71b03b6ee58e,869b40811fbb8fc59ab1096be415673088affd11,2026-06-13,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a9935af2,af422997676034da8e7cc6e335c0a4982824bfaf,2026-03-28,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a9935af2,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a996009b,6ff1e755f895e4d6dfddd6873123d5488b230d66,2026-03-31,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a996009b,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-a9d0b812,a64125d3074050ea8333bbbaf487bf6a2459e6bc,2026-03-29,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a9d0b812,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-aa248b2734d497ede,a796691fcb4700003e5d2a06712a7b6bd7f1ee28,2026-06-08,no,1,no,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aa248b2734d497ede,-,harness-ephemeral,"PRESERVE(bundle)-then-review — LOCAL-ONLY, 1 unique commit(s) not on any remote",git bundle REQUIRED
worktree-agent-aa61f05e,af422997676034da8e7cc6e335c0a4982824bfaf,2026-03-28,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aa61f05e,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-aa7d2dfe088e56bb1,6138ec1293fb0e65f9a3c85c3351364f340ea210,2026-06-24,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-aab2c28e,93ebe5ac3bf631fb51826a57f9e74fa151ff35ec,2026-03-29,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aab2c28e,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-aad5dc9e,2e08d1e418bc1b3a7cfc62959ac0e0e002c2bc6f,2026-03-28,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aad5dc9e,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-ab75197940454171b,9aa4cd1b3d008614c7d8a552fd414d1ae1ec09f3,2026-06-06,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-ab797b3fdd471e0d5,c3ddb8fd47c9d325e315f9909440df2f8d28bdc1,2026-06-06,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-aba59f9197670da0d,8d2da8c379d9b7929fad553366ca790e2ff68bb9,2026-06-25,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-abe3bfcaa0ef17aa9,46e2360f25fa8414e3267f671c4109921d3433cf,2026-06-14,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-abe3bfcaa0ef17aa9,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-abf02cd7df13297dd,c7f7769cf2e1310e5f8866d5b393ad9ae359d153,2026-06-15,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-ac5917de,8dd272313803284048695fc96bca57618e28d532,2026-04-04,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ac5917de,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-ac7da67eddfa43ab2,839432dfb9095a5b9dea7801d709c1f29097a58f,2026-06-13,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ac7da67eddfa43ab2,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-ac7febc6,0e32fec0a5331d51c59b64271e3d50b0c773e4b2,2026-03-29,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ac7febc6,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-acb37c54,2e08d1e418bc1b3a7cfc62959ac0e0e002c2bc6f,2026-03-28,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-acb37c54,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-acbf8d8b627fcc8e2,fe58b738500d1f664db12719c547683499bc71eb,2026-06-05,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-acfcd8be1b26c658a,fe9bbcb47888c4aed6389ab7f1f07526328c6f7d,2026-06-24,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-ad0167eb,0e32fec0a5331d51c59b64271e3d50b0c773e4b2,2026-03-29,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad0167eb,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-ad110299,4c66dc0e548ffaa700062a6fc4ab0e9b45f2dab0,2026-03-28,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad110299,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-ad45c6412c39d25e0,d27243c4704158315bccf2f6f8864a9374980c11,2026-06-08,no,1,no,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad45c6412c39d25e0,-,harness-ephemeral,"PRESERVE(bundle)-then-review — LOCAL-ONLY, 1 unique commit(s) not on any remote",git bundle REQUIRED
worktree-agent-ad53c644c3453a219,d76b1b8c5476c9133e44bf0831fea87bd717f0ef,2026-06-08,no,1,no,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad53c644c3453a219,-,harness-ephemeral,"PRESERVE(bundle)-then-review — LOCAL-ONLY, 1 unique commit(s) not on any remote",git bundle REQUIRED
worktree-agent-ad885882,71745f28780b7e014f2da7115675ca22e5981e5c,2026-04-01,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad885882,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-ad99be88bc6060df2,0540f40bd924494be296a778799409a7abdf9cb8,2026-06-08,no,1,no,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad99be88bc6060df2,-,harness-ephemeral,"PRESERVE(bundle)-then-review — LOCAL-ONLY, 1 unique commit(s) not on any remote",git bundle REQUIRED
worktree-agent-adaf74a9,46a212a792db144e3de3cb2f9414cf5182a8fba7,2026-04-01,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-adaf74a9,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-add1f599571c43c3c,b26ce64dad0763eda0c5df57e1239bf9cc7dbac2,2026-06-05,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-ae07adf7,6ff1e755f895e4d6dfddd6873123d5488b230d66,2026-03-31,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae07adf7,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-ae3e8eae,3e40dfcb6711bfe8dd065dd922c32d3b8b0b7790,2026-03-28,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae3e8eae,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-ae5ab16f60b6b49ff,c7307806e54df44e6dc001a913f492bf81269607,2026-06-15,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-ae67dca5,4c66dc0e548ffaa700062a6fc4ab0e9b45f2dab0,2026-03-28,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae67dca5,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-aeaad3f8,8c090854d2f6e1e4e68fdb51b09e9d268199ce64,2026-04-01,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aeaad3f8,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-aeae7083d124f7419,33a847749149c9d520349297572eb392819e4f4c,2026-06-05,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-af19a392d64e01d5a,3515d40ef5794db504e9a7910b8c2c9647cc95dc,2026-06-24,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-af20cebb7272acc39,71424b3960ac8f2fa3087743cada1e2b5c93766a,2026-06-05,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-af35175e,495d95671b97c271892f547134419f2d03b8bc1e,2026-03-28,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-af35175e,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-af748e90,df3101ab7c7115b25943cb5e25408f2555d26cf3,2026-03-28,yes,0,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-af748e90,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-agent-affca53104e41d918,ec648434e398b89a609a2494b8d2ef237eb37506,2026-06-05,yes,0,yes,-,-,harness-ephemeral,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-data+brand-alias-backfill,87975ea8f0874842757a274d9a57b9744d761475,2026-06-13,no,3,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+brand-alias-backfill,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
worktree-data+datahub-vision,368b8fa5fefd1f371fcb45827a77950bfe3e82e9,2026-06-13,no,3,yes,-,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
worktree-data+faers-discipline,cd10e486f241c8f483ea8079abd692b84bcd29e9,2026-06-12,no,1,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+faers-discipline,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
worktree-data+mechanism-granularity,75f88ee59e984714a6b0ad3f3cb62e86c8c6ba25,2026-06-12,no,1,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+mechanism-granularity,-,Data/Substrate,"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
worktree-data+nadac-pricing-revival,9cf00f5773e4307d192e4e5182fa235c164b2801,2026-06-13,no,2,no,C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+nadac-pricing-revival,-,Data/Substrate,"PRESERVE(bundle)-then-review — LOCAL-ONLY, 2 unique commit(s) not on any remote",git bundle REQUIRED
worktree-data+source-coverage-freshness,3bd4428a1ff0c01dda76ae572ccb66e45e4262fa,2026-06-13,no,2,no,C:/Users/kapil/Documents/market_zero/.claude/worktrees/data+source-coverage-freshness,-,Data/Substrate,"PRESERVE(bundle)-then-review — LOCAL-ONLY, 2 unique commit(s) not on any remote",git bundle REQUIRED
worktree-platform+closed-world-guard,1112453fda9aa987941f0367840a9540e69ff6d7,2026-06-11,no,4,yes,C:/Users/kapil/Documents/market_zero/.claude/worktrees/platform+closed-world-guard,-,Product-Platform(FE),"REVIEW — tip on origin (preserved), no open PR; decide merge/close",origin (pushed)
worktree-platform-p1-decimal-fix,affcf7676454336174e7b2e146ca93de470575ff,2026-06-09,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-platform-p2-health-alert,bfde9b04659487f5ab31b8b2b2dfeb82c32222a7,2026-06-09,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
worktree-platform-p3-citations,efe56eae11202a954a91fa2c275146e979ba4e56,2026-06-11,no,1,no,C:/Users/kapil/Documents/market_zero/.claude/worktrees/platform-p1-decimal-fix,-,Product-Platform(FE),"PRESERVE(bundle)-then-review — LOCAL-ONLY, 1 unique commit(s) not on any remote",git bundle REQUIRED
worktree-wf_279bf0f5-d7f-1,d41ad9b53c4127779f4ac7f0407042f9af83d124,2026-06-15,yes,0,yes,-,-,unknown,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
